set_key,name,drop_index,drop_offset,drop_rel,friendly_offset,friendly_rel,item_key,item_key_dup,flag,unk3,unk4,unk_cond_flag,unk_post_cond,rates,rates_100,max_amt,min_amt,friendly_values,friendly_hex
175084,DropSet_Faction_Desert_Harrier,6,47473,464,,,30010,30010,1,0,0,0,0,50000,5,6,10,,
175561,DropSet_Harpy_Common,0,57413,46,,,1000265,1000265,1,0,0,0,0,500000,50,3,5,,
160581,DropSet_Character_Mercenary,3,71487,257,,,50001,50001,1,0,0,0,0,250000,25,5,10,,
160588,DropSet_Character_Wandering_Mercenary,3,71844,267,,,50001,50001,1,0,0,0,0,250000,25,5,10,,
175199,DropSet_MiniGame_RockPaperSci_Her,0,80232,59,,,1001245,1001245,1,0,0,0,0,140000,14,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,1,80300,127,,,1001238,1001238,1,0,0,0,0,140000,14,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,2,80368,195,,,1002082,1002082,1,0,0,0,0,140000,14,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,3,80436,263,,,1001323,1001323,1,0,0,0,0,140000,14,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,4,80504,331,,,1000079,1000079,1,0,0,0,0,140000,14,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,5,80572,399,,,1000680,1000680,1,0,0,0,0,100000,10,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,6,80640,467,,,1001292,1001292,1,0,0,0,0,100000,10,1,1,,
175199,DropSet_MiniGame_RockPaperSci_Her,7,80708,535,,,1001859,1001859,1,0,0,0,0,100000,10,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,0,80857,59,,,1001245,1001245,1,0,0,0,0,240000,24,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,1,80925,127,,,1001238,1001238,1,0,0,0,0,240000,24,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,2,80993,195,,,1002085,1002085,1,0,0,0,0,240000,24,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,3,81061,263,,,1000680,1000680,1,0,0,0,0,80000,8,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,4,81129,331,,,1002081,1002081,1,0,0,0,0,80000,8,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,5,81197,399,,,1002084,1002084,1,0,0,0,0,80000,8,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,6,81265,467,,,1001421,1001421,1,0,0,0,0,20000,2,1,1,,
175200,DropSet_MiniGame_RockPaperSci_Dem,7,81333,535,,,1001307,1001307,1,0,0,0,0,20000,2,1,1,,
175210,DropSet_MiniGame_RockPaperSci_Pai,0,81482,59,,,1001245,1001245,1,0,0,0,0,140000,14,1,1,,
175210,DropSet_MiniGame_RockPaperSci_Pai,1,81550,127,,,1001238,1001238,1,0,0,0,0,140000,14,1,1,,
175210,DropSet_MiniGame_RockPaperSci_Pai,2,81618,195,,,29810,29810,1,0,0,0,0,140000,14,1,1,,
175210,DropSet_MiniGame_RockPaperSci_Pai,3,81686,263,,,29801,29801,1,0,0,0,0,140000,14,1,1,,
175210,DropSet_MiniGame_RockPaperSci_Pai,4,81754,331,,,29802,29802,1,0,0,0,0,140000,14,1,1,,
